481,What mistake does Aeneas's father make regarding Apollo's command?,"Aeneas and his group sail to Crete and began
to build a new city, but a terrible plague soon strikes. The gods
of Troy appear to Aeneas in a dream and explain that his father
is mistaken: the ancestral land to which Apollo referred is not
Crete but Italy, the original home of Dardanus, from whom the Trojans
take the name Dardanians. These hearth gods also reassert the prophecy
of Roman supremacy, declaring, “You must prepare great walls for
a great race” (III.223).",Aeneas's father believes that Apollo is Juno in disguise.,Aeneas's father assumes Apollo is telling them to found a city in Greece.,Aeneas's father thinks they are supposed to go to Crete.,"Aeneas's father interprets Apollo's orders as applying to him, not Aeneas.",2
482,What prophecy does the harpy make to Aeneas and his men?,"After holding a funeral for Polydorus, Aeneas and the
Trojans embark from Thrace with a sense of dread at the Thracian
violation of the ethics of hospitality. They sail southward to the
holy island of Delos. At Delos, Apollo speaks to Aeneas, instructing
him to go to the land of his ancestors. Anchises interprets Apollo’s
remark as a reference to the island of Crete, where one of the great
Trojan forefathers—Teucrus, after whom the Trojans are sometimes
called Teucrians—had long ago ruled.",Aeneas and his men will not found their city until they are so hungry that they eat their tables.,Aeneas and his men will not find a place to rest until they have killed the traitor in their midst.,Aeneas and his men will not make it to Italy until seven of them are sacrificed to the gods.,Aeneas and his men will not start their empire until they have suffered at Dido's hands.,0
484,Why does Dido have mixed feelings about her love for Aeneas?,"When Jupiter learns of Dido and Aeneas’s affair, he dispatches Mercury
to Carthage to remind Aeneas that his destiny lies elsewhere and
that he must leave for Italy. This message shocks Aeneas—he must
obey, but he does not know how to tell Dido of his departure. He tries to prepare his fleet to set sail in secret, but the queen suspects
his ploy and confronts him. In a rage, she insults him and accuses
him of stealing her honor. While Aeneas pities her, he maintains that
he has no choice but to follow the will of the gods: “I sail for
Italy not of my own free will” (IV.499). As a last effort, Dido sends Anna to try to persuade the Trojan
hero to stay, but to no avail.",Dido knows that he wants to take over her kingdom.,Dido fears that the gods will take him away.,Dido has sworn to never marry again.,Dido is also in love with Anchises.,2
485,Why does Juno want Aeneas and Dido to get together?,"Juno sees Dido’s love for Aeneas as a way to keep Aeneas
from going to Italy. Pretending to make a peace offering, Juno suggests
to Venus that they find a way to get Dido and Aeneas alone together. If they marry, Juno suggests, the Trojans and the Tyrians would
be at peace, and she and Venus would end their feud. Venus knows
Juno is just trying to keep the Trojans from Italy but allows Juno
to go ahead anyway.",Juno promised Dido a great love.,Juno hopes to bring peace to the region.,Juno wants to cause the fall of Carthage.,Juno thinks it will hinder Aeneas's quest.,3
486,What rumors begin to spread about Aeneas and Dido?,"When Jupiter learns of Dido and Aeneas’s affair, he dispatches Mercury
to Carthage to remind Aeneas that his destiny lies elsewhere and
that he must leave for Italy. This message shocks Aeneas—he must
obey, but he does not know how to tell Dido of his departure. He tries to prepare his fleet to set sail in secret, but the queen suspects
his ploy and confronts him. In a rage, she insults him and accuses
him of stealing her honor. While Aeneas pities her, he maintains that
he has no choice but to follow the will of the gods: “I sail for
Italy not of my own free will” (IV.499). As a last effort, Dido sends Anna to try to persuade the Trojan
hero to stay, but to no avail.",Aeneas and Dido have given up their duties for lust.,Aeneas and Dido are plotting to attack Italy.,Aeneas and Dido have teamed up to invade Greece.,Aeneas and Dido are actually brother and sister.,0
491,Whom does Aeneas leave behind in Sicily?,"Massive storm clouds greet the Trojan fleet as it embarks
from Carthage, hindering the approach to Italy. Aeneas redirects
the ships to the Sicilian port of Eryx, where his friend
and fellow Trojan Acestes rules. After landing and being welcomed
by Acestes, Aeneas realizes that it is the one-year anniversary
of his father’s death. He proposes eight days of sacrificial offerings
and a ninth day of competitive games, including rowing, running,
javelin, and boxing, in honor of his father.",The men in Aeneas' band who have fallen in love with Sicilian women,The Trojan women who joined in the burning of the ships,"The oldest, weakest, and most unwilling members of Aeneas' party","The fastest, strongest, and most daring members of Aeneas' group",2
495,How does Aeneas find the tree with the golden bough?,"At last, the Trojan fleet arrives on the shores of Italy. The ships drop anchor off the coast of Cumae, near modern-day Naples. Following his father’s instructions, Aeneas makes for the Temple
of Apollo, where the Sibyl, a priestess, meets him. She commands
him to make his request. Aeneas prays to Apollo to allow the Trojans
to settle in Latium. The priestess warns him that more trials await
in Italy: fighting on the scale of the Trojan War, a foe of the
caliber of the Greek warrior Achilles, and further interference
from Juno. Aeneas inquires whether the Sibyl can gain him entrance
to Dis, so that he might visit his father’s spirit as directed. The Sibyl informs him that to enter Dis with any hope of returning,
he must first have a sign. He must find a golden branch in the nearby
forest. She instructs him that if the bough breaks off the tree
easily, it means fate calls Aeneas to the underworld. If Aeneas
is not meant to travel there, the bough will not come off the tree.",A golden ram shows Aeneas the way.,A pair of doves lead Aeneas to it.,Aeneas follows a trickle of blood.,Aeneas cuts down all of the other trees.,1
500,What is the significance of the Trojans' meal of bread and fruit?,"Meanwhile, Aeneas and his captains are eating on the
beach, with fruit spread out on flat, hard loaves of bread. They
finish the fruit but are still hungry, so they eat the bread that
they have used as tables. Ascanius notes with a laugh that they
have indeed eaten their tables, thus fulfilling the Harpies’ curse
in a manner less dire than anticipated. Aeneas recognizes that they
have arrived at their promised land. The next day, he sends emissaries
to King Latinus, requesting a share of the land for the foundation
of a new city. Latinus offers territory as well as something extra—mindful
of the oracle’s words, he suggests that Aeneas take the hand of
Lavinia in matrimony. Latinus recognizes that accepting fate, even
if it means that the Trojans will one day rule his kingdom, proves
a safer course than resisting destiny.","the Trojans do not offer any to the poor, angering Jupiter.","the Trojans eat their tables, as the harpy predicted.","the Trojans consume parts of Carthage in Italy, as Apollo commanded.","the Trojans pluck the fruit from the trees of Latinus, waking the hydra.",1
501,What does Latinus offer Aeneas in addition to land?,"Meanwhile, Aeneas and his captains are eating on the
beach, with fruit spread out on flat, hard loaves of bread. They
finish the fruit but are still hungry, so they eat the bread that
they have used as tables. Ascanius notes with a laugh that they
have indeed eaten their tables, thus fulfilling the Harpies’ curse
in a manner less dire than anticipated. Aeneas recognizes that they
have arrived at their promised land. The next day, he sends emissaries
to King Latinus, requesting a share of the land for the foundation
of a new city. Latinus offers territory as well as something extra—mindful
of the oracle’s words, he suggests that Aeneas take the hand of
Lavinia in matrimony. Latinus recognizes that accepting fate, even
if it means that the Trojans will one day rule his kingdom, proves
a safer course than resisting destiny.",Latinus' daughter,Latinus' orchards,Latinus' army,Latinus' treasury,0
503,How does Ascanius inadvertently start the war?,"Sailing up the coast of Italy, the Trojans reach the mouth
of the Tiber River, near the kingdom of Latium. Virgil, invoking
the muse once again to kick off the second half of his epic narrative,
describes the political state of affairs in Latium. The king, Latinus,
has a single daughter, Lavinia. She is pursued by many suitors,
but the great warrior Turnus, lord of a nearby kingdom, appears
most eligible for her hand. Worried by a prophet’s prediction that
a foreign army will conquer the kingdom, Latinus consults the Oracle
of Faunus. A strange voice from the oracle instructs the king that
his daughter should marry a foreigner, not a Latin.",Ascanius seduces a woman who turns out to be Turnus's sister in disguise.,Ascanius cuts down a tree that Latinus had set aside as sacred.,Ascanius shoots a favorite stag of Latinus's herdsman.,Ascanius fishes in Tibernius's sacred river.,2
555,What aspect of the narrator’s writing process fascinates the native boys?,"The natives take the drought stoically, even though it seriously affects their ability to grow crops and feed cattle. To keep herself entertained, the narrator takes to telling stories to her visitors. She also starts writing them down. Her typewriter fascinates the native boys, much as her German cuckoo clock does. Each day after she starts to type, a group of boys appears outside her window. Kamante eventually asks if she thinks that she can write a book. He points out that her pages are not a ""book"" because they are not bound like the ones in the library. The narrator explains that books are bound later in Europe and that she could write about anything, even him, and it could later be published. Several days later, the narrator feels amused to overhear Kamante giving a little lecture to the other boys about how books are written and published.",the narrator’s fountainpen,the narrator’s roll-top desk,the narrator’s typewriter,the narrator’s leather notebooks,2
558,"When Lulu doesn’t visit for over a week, what does Farah explain has happened to her?","One evening Lulu does not come home and no one can find her. After a week, the narrator sadly decides that Lulu is dead. Farah, her main servant, suddenly informs her that Lulu is not dead, but simply married. The next day Lulu eats some grain that Kamante puts out, while a male deer waits for her on the periphery of the landscape. Even with her mate, Lulu continues to visit and is relatively friendly. Eventually, Lulu has a small baby whom she also brings to the house. With her baby, Lulu shies from human contact and eventually the whole deer family returns to the wild and the narrator rarely sees them anymore. With Lulu's arrival, the narrator feels that the African landscape and her household have merged in a union. Lulu knew the secrets of the African landscape and brought them with her to the farm.",Hunters shot Lulu,Lulu migrated south,Lulu broke her leg,Lulu got married,3
564,What does Jogona do with the account of his testimony that the narrator types up?,"When everyone is gathered, it is announced that Wanyangerri's father and Kaninu have come to an agreement, which involves the transfer of ten sheep and a cow and a calf. The selection of the exact cow and calf is debated for a while, as Wanyangerri's family fears that Kaninu will give them an old one, but eventually one is chosen. The narrator writes up the agreement on which the thumbprint of Wanyangerri's father, Kaninu, and the Chief are placed. The narrator signs it as well as Baroness Blixen.",Jogona buries it,Jogona carries it in a pouch,Frames it,Jogona puts it under his pillow,1
571,What do the Somali women find shocking about European marriages?,"The narrator frequently spends time with Farah's women, who love to tell stories in the manner of Arabian Nights. The narrator also tells them stories, mostly about Europe and its customs. The Somali women are shocked to find that European women do not receive a bride price when they marry. The narrator also discusses religion with them, since, as Muslims, they recognize Jesus as a prophet of God. Because of their religious discussions, the narrator once took them to mass at the French Mission. The Somali women liked the statues of Jesus and Mary, but did not understand that they were simply inanimate objects that would not move at night.",Spouses share a bed,European marriages are held publicly,There’s no bride price in European marriages,European marriages require a minister,2
614,What does Agamemnon rebuke his wife for?,"Agamemnon rebukes his wife for laying the carpet before him saying that, were he to walk on it, he would display unseemly pride and incur the wrath of the gods: ""Such state becomes the gods,"" he tells her, ""and none beside. / I am a mortal, a man; I cannot trample upon / these tinted splendors without fear thrown in my path"" (922-24). Clytemnestra goads him by accusing him of being fearful and pointing out that had Priam, Troy's king, defeated the Greeks, he would have walked on purple. Agamemnon finally consents and enters his palace on the carpet, demanding proper care and attention for Cassandra, the Trojan princess he has taken as his slave and concubine. Clytemnestra comments that the purple dye with which the carpet is colored comes from the sea, ""ever of itself renewed"" (959). She follows Agamemnon inside, expressing her joy at having him home again (959).",Spending too much money,Ordering the carpet,Cheating on Agamemnon,Sending Agamemnon and his wife's son away,1
636,"According to gossip, Ellen Olenska left her husband because he was ___.","His reverie is abruptly interrupted by his acquaintance Larry Lefferts, who notices a stranger entering the Mingott box. A slim young woman wearing a theatrical and low-cut dress takes a seat in the box, seemingly unconscious of all the attention she attracts. With shock, Archer realizes that this woman is no other than the Countess Ellen Olenska, cousin to May Welland, who has returned to New York after having lived abroad for many years. Lefferts, considered to be the authority on ""form,"" or style and fashion, and Sillerton Jackson, the unofficial archivist of all family histories and scandals within the upper class, are both shocked that the Countess would appear in good society with the rest of her family. We learn through their gossip that it is rumored that she had left her unfaithful husband, a Polish count.",Gay,An alcoholic,A gambler,Unfaithful to Ellen Olenska,3
641,"After meeting Ellen at the train station, Archer briefly, morbidly imagines that he might escape his stifling marriage ___.","Meeting Ellen at the train station, Archer is surprised to find that he hardly remembers what Ellen looked like. In the carriage, he mentions that Olenski's emissary, the French tutor, had been to see him in New York. Ellen confirms that it was he who had helped her escape from her husband but does not give any indication that their relationship went further than this. Archer then expresses to Ellen his own anxieties; that although he does not want a tawdry love affair, he cannot bear to remain apart from her. Ellen responds that it is impossible for them to deceive those who trust them. Archer abruptly stops the carriage and leaves before they reach Mrs. Mingott's.",If May dies young,By killing May,By killing himself,By joining the Army,0
648,Why does Archer persuade May to leave the opera early?,"The next night, the van der Luydens host a pre-opera dinner at their exclusive Madison Avenue home. At dinner, the topic of discussion is again the Beauforts' financial failure. The van der Luydens are dismayed to learn that Ellen had been to see Mrs. Beaufort, an action they conceive of as imprudent, considering the Beauforts' fall from good society. At the opera, Archer feels guilty about his intended tryst with Ellen. At his side, May is wearing her wedding dress, as is the custom for young married women. Archer suddenly feels the urge to confess to her, and he persuades May to leave the opera early. Back home, Archer is on the verge of confessing when May interrupts him by mentioning that Ellen has decided to return to Europe. Archer is stunned and excuses himself for bed.",Archer wants to confess,Archer feels ill,Archer hates the music,Archer sees Ellen,0
652,"Later in Archer’s life, who surprises him by asking if he was ever in love with Ellen Olenska?","Archer's eldest son convinces him to accompany him to Paris for a few weeks. Once there, he surprises Archer by informing him that they are to visit the Countess Olenska at her Paris apartment. Archer's son asks him if it was true that he had once been in love with the Countess. The son continues by remarking that May had told him the day before she died that Archer had ""given up the thing he most wanted"" when she had asked him to. Emotionally, Archer responds that she had never asked him.",Archer’s son,Archer’s sister,Archer’s servant,Ned Winsett,0
